Episode: 28, Steps: 200, Reward: -960.4808079969854, Best reward: -854.3761826197047, Avg reward: -1274.0405647017833
Episode: 29, Steps: 200, Reward: -1169.8844139858015, Best reward: -854.3761826197047, Avg reward: -1270.5686930112506
Episode: 30, Steps: 200, Reward: -1287.188277275166, Best reward: -854.3761826197047, Avg reward: -1271.1048086326673
Episode: 31, Steps: 200, Reward: -1157.9589668964006, Best reward: -854.3761826197047, Avg reward: -1267.5690010784087
Episode: 32, Steps: 200, Reward: -1164.9683064099052, Best reward: -854.3761826197047, Avg reward: -1264.4598891187572
Episode: 33, Steps: 200, Reward: -1336.5121783454128, Best reward: -854.3761826197047, Avg reward: -1266.579074096012
Episode: 34, Steps: 200, Reward: -1334.3311603628172, Best reward: -854.3761826197047, Avg reward: -1268.5148479893492
Episode: 35, Steps: 200, Reward: -1301.0264887287015, Best reward: -854.3761826197047, Avg reward: -1269.417949120998
Episode: 36, Steps: 200, Reward: -1239.1663972465437, Best reward: -854.3761826197047, Avg reward: -1268.6003396108777
Episode: 37, Steps: 200, Reward: -1326.3377640593121, Best reward: -854.3761826197047, Avg reward: -1270.1197455174154
Episode: 38, Steps: 200, Reward: -1135.2779218777744, Best reward: -854.3761826197047, Avg reward: -1266.6622628599887
Episode: 39, Steps: 200, Reward: -1229.4894751080467, Best reward: -854.3761826197047, Avg reward: -1265.73294316619
Episode: 40, Steps: 200, Reward: -1810.0720337383664, Best reward: -854.3761826197047, Avg reward: -1279.0095063508772
Episode: 41, Steps: 200, Reward: -1292.0177582887811, Best reward: -854.3761826197047, Avg reward: -1279.3192266351132
Episode: 42, Steps: 200, Reward: -1162.2508326687807, Best reward: -854.3761826197047, Avg reward: -1276.5967058451984
Episode: 43, Steps: 200, Reward: -1050.5398269335722, Best reward: -854.3761826197047, Avg reward: -1271.4590495062978
Episode: 44, Steps: 200, Reward: -1153.6144936746844, Best reward: -854.3761826197047, Avg reward: -1268.8402815989286
Episode: 45, Steps: 200, Reward: -1076.1469673466058, Best reward: -854.3761826197047, Avg reward: -1264.651296506487
Episode: 46, Steps: 200, Reward: -1336.9784351911771, Best reward: -854.3761826197047, Avg reward: -1266.1901717976505
Episode: 47, Steps: 200, Reward: -1031.793588164892, Best reward: -854.3761826197047, Avg reward: -1261.3069096386346
Episode: 48, Steps: 200, Reward: -1288.4685125331446, Best reward: -854.3761826197047, Avg reward: -1261.8612280650532
Episode: 49, Steps: 200, Reward: -1323.7400878071874, Best reward: -854.3761826197047, Avg reward: -1263.0988052598957
Episode: 50, Steps: 200, Reward: -1749.5589643925562, Best reward: -854.3761826197047, Avg reward: -1272.637239752693
Episode: 51, Steps: 200, Reward: -1094.9904929947247, Best reward: -854.3761826197047, Avg reward: -1269.2209561611937
Episode: 52, Steps: 200, Reward: -1165.8362423098192, Best reward: -854.3761826197047, Avg reward: -1267.2703011828658
Episode: 53, Steps: 200, Reward: -1168.730337504268, Best reward: -854.3761826197047, Avg reward: -1265.4454870406696
Episode: 54, Steps: 200, Reward: -902.3819288208078, Best reward: -854.3761826197047, Avg reward: -1258.844331436672
Episode: 55, Steps: 200, Reward: -1746.7425152351043, Best reward: -854.3761826197047, Avg reward: -1267.5567990045013
Episode: 56, Steps: 200, Reward: -1188.3899375688084, Best reward: -854.3761826197047, Avg reward: -1266.1679066986117
Episode: 57, Steps: 200, Reward: -1063.1507280560256, Best reward: -854.3761826197047, Avg reward: -1262.6676105151191
Episode: 58, Steps: 200, Reward: -1196.9498151923535, Best reward: -854.3761826197047, Avg reward: -1261.553749577445
Episode: 59, Steps: 200, Reward: -1378.730770808992, Best reward: -854.3761826197047, Avg reward: -1263.5066999313042
Episode: 60, Steps: 200, Reward: -1725.8844401757412, Best reward: -854.3761826197047, Avg reward: -1271.0866628861309
Episode: 61, Steps: 200, Reward: -1028.6995470312838, Best reward: -854.3761826197047, Avg reward: -1267.1771932755687
Episode: 0, Steps: 200, Reward: -1337.3337259786836, Best reward: -inf, Avg reward: -1337.3337259786836
